"bedrock","zs","zb","depth","height","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
720,0,720,3700.3,0,0,-0,0,0,720,0
677.37,0,677.37,3710.4,0,2.4609,-0.0025544,0,41069,677.37,0
636.33,0,636.33,3704.5,0,4.8169,-0.0049999,0,80609,636.33,0
596.81,0,596.81,3691.3,0,7.3212,-0.0075994,0,1.1868e+05,596.81,0
558.77,0,558.77,3673.4,0,9.6631,-0.01003,0,1.5533e+05,558.77,0
522.14,0,522.14,3651.2,0,11.994,-0.01245,0,1.9062e+05,522.14,0
486.87,0,486.87,3626.1,0,14.261,-0.014803,0,2.246e+05,486.87,0
452.92,0,452.92,3598.1,0,16.52,-0.017148,0,2.5731e+05,452.92,0
420.22,0,420.22,3568.1,0,18.734,-0.019446,0,2.888e+05,420.22,0
388.75,0,388.75,3536.2,0,20.949,-0.021745,0,3.1912e+05,388.75,0
358.45,0,358.45,3502.8,0,23.131,-0.02401,0,3.4832e+05,358.45,0
329.27,0,329.27,3468,0,25.318,-0.02628,0,3.7642e+05,329.27,0
301.18,0,301.18,3432.2,0,27.483,-0.028528,0,4.0349e+05,301.18,0
274.14,0,274.14,3395.3,0,29.656,-0.030783,0,4.2954e+05,274.14,0
248.1,0,248.1,3357.7,0,31.815,-0.033024,0,4.5463e+05,248.1,0
223.03,0,223.03,3319.3,0,33.984,-0.035276,0,4.7878e+05,223.03,0
198.89,0,198.89,3280.3,0,36.149,-0.037522,0,5.0203e+05,198.89,0
175.65,0,175.65,3240.8,0,38.325,-0.039781,0,5.2442e+05,175.65,0
153.28,0,153.28,3200.8,0,40.503,-0.042042,0,5.4597e+05,153.28,0
131.74,0,131.74,3160.5,0,42.694,-0.044317,0,5.6673e+05,131.74,0
111,0,111,3119.9,0,44.894,-0.0466,0,5.8671e+05,111,0
91.031,0,91.031,3079,0,47.11,-0.048901,0,6.0594e+05,91.031,0
71.806,0,71.806,3037.9,0,49.34,-0.051215,0,6.2446e+05,71.806,0
53.296,0,53.296,2996.6,0,51.589,-0.05355,0,6.423e+05,53.296,0
35.475,0,35.475,2955.3,0,53.857,-0.055903,0,6.5947e+05,35.475,0
18.318,0,18.318,2913.8,0,56.147,-0.05828,0,6.7599e+05,18.318,0
1.7983,0,1.7983,2872.3,0,58.46,-0.060681,0,6.9191e+05,1.7983,0
-14.106,0,-14.106,2830.8,0,60.799,-0.06311,0,7.0723e+05,-14.106,0
-29.419,0,-29.419,2789.3,0,63.166,-0.065567,0,7.2198e+05,-29.419,0
-44.162,0,-44.162,2747.8,0,65.564,-0.068055,0,7.3619e+05,-44.162,0
-58.356,0,-58.356,2706.3,0,67.993,-0.070577,0,7.4986e+05,-58.356,0
